date, pm25, pm10, o3, no2, so2, co
2024/8/3, 49, 23, 31, 5, 1, 3
2024/8/4, 51, 23, 38, 4, 1, 3
2024/8/5, 58, 20, 30, 4, 1, 3
2024/8/6, 49, 23, 46, 4, 1, 3
2024/8/7, 61, 20, 38, 4, 1, 3
2024/8/8, 53, 23, 29, 5, 1, 2
2024/8/9, 61, 22, 33, 5, 1, 2
2024/8/10, 53, 18, 37, 4, 1, 2
2024/8/11, 39, 19, 43, 4, 1, 2
2024/8/12, 44, 20, 38, 4, 1, 2
2024/8/13, 41, 20, 29, 4, 1, 2
2024/8/14, 44, 17, 26, 4, 1, 2
2024/8/15, 43, 16, 37, 4, 1, 1
2024/8/16, 29, 19, 25, 3, 1, 1
2024/8/17, 36, 18, 26, 3, 1, 2
2024/8/18, 32, 25, 28, 4, 2, 2
2024/8/19, 57, 24, 24, 3, 1, 1
2024/8/20, 37, 26, 21, 2, 1, 2
2024/8/21, 30, 24, 44, 2, 1, 2
2024/8/22, 44, 41, 62, 2, 1, 4
2024/8/23, 84, 36, 49, 2, 1, 3
2024/8/24, 81, 33, 48, 2, 1, 3
2024/8/25, 75, 30, 45, 2, 1, 2
2024/8/26, 68, 22, 34, 3, 1, 1
2024/8/27, 53, 25, 30, 3, 1, 1
2024/8/28, 41, 16, 42, 3, 1, 1
2024/8/29, 31, 13, 33, 3, 1, 1
2024/8/30, 25, 19, 49, 3, 1, 1
2024/8/31, 41, 23, 58, 3, 1, 2
2024/9/1, 54, 24, 47, 4, 1, 2
2024/9/2, 58, 22, 43, 3, 1, 2
2024/9/3, 52, 22, 37, 3, 1, 2
2024/9/4, 38, 26, 44, 4, 1, 2
2024/9/5, 53, 29, 36, 4, 1, 2
2024/9/6, 64, 31, 32, 3, 2, 1
2024/9/7, 80, 28, 27, 4, 2, 2
2024/9/8, 70, 27, 33, 3, 1, 2
2024/9/9, 66, 25, 31, 3, 2, 2
2024/9/10, 50, 19, 10, 3, 1, 1
2024/9/11, 29, 22, 14, 3, 2, 1
2024/9/12, 25, 21, 24, 4, 2, 1
2024/9/13, 44, 19, 31, 3, 2, 1
2024/9/14, 46, 21, 23, 3, 2, 2
2024/9/15, 41, 22, 13, 3, 2, 1
2024/9/16, 33, 16, 18, 4, 2, 1
2024/9/17, 32, 18, 26, 3, 2, 1
2024/9/18, 43, 27, 14, 3, 2, 1
2024/9/19, 41, 30, 16, 2, 1, 1
2024/9/20, 38, 26, 22, 2, 1, 1
2024/9/21, 36, 9, 27, 3, 1, 1
2024/9/22, 19, 22, 29, 3, 1, 1
2024/9/23, 30, 22, 32, 3, 1, 1
2024/9/24, 31, 20, 29, 3, 1, 1
2024/9/25, 36, 18, 35, 3, 1, 1
2024/9/26, 40, 22, 49, 4, 1, 1
2024/9/27, 54, 22, 38, 3, 1, 1
2024/9/28, 39, 25, 38, 3, 1, 1
